"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20","1,801.90","1,799.40","1,829.65","1,766.45","283.37K","0.08%"
"Jun 20","1,800.50","1,755.20","1,804.00","1,671.85","199.42K","2.79%"
"May 20","1,751.70","1,695.70","1,775.40","1,676.40","150.11K","3.39%"
"Apr 20","1,694.20","1,589.40","1,788.80","1,576.00","3.73M","6.41%"
"Mar 20","1,592.10","1,587.05","1,703.90","1,451.00","1.72K","1.62%"
"Feb 20","1,566.70","1,597.80","1,691.70","1,551.10","7.43M","-1.34%"
"Jan 20","1,587.90","1,527.50","1,619.60","1,526.00","2.15M","4.50%"
"Dec 19","1,519.50","1,462.80","1,523.40","1,453.30","12.30K","3.68%"
"Nov 19","1,465.60","1,511.00","1,511.60","1,447.10","97.34K","-3.03%"
"Oct 19","1,511.40","1,468.70","1,518.20","1,458.30","4.81K","3.12%"
"Sep 19","1,465.70","1,522.90","1,553.20","1,463.50","9.50K","-3.52%"
"Aug 19","1,519.10","1,411.30","1,549.30","1,400.90","14.45K","6.52%"
"Jul 19","1,426.10","1,386.60","1,444.20","1,382.80","77.78K","1.16%"
"Jun 19","1,409.70","1,307.00","1,433.30","1,307.00","5.27K","7.96%"
"May 19","1,305.80","1,278.70","1,306.40","1,266.60","58.75K","1.79%"
"Apr 19","1,282.80","1,291.80","1,307.10","1,266.00","6.16K","-0.79%"
"Mar 19","1,293.00","1,312.20","1,322.90","1,281.00","89.44K","-1.51%"
"Feb 19","1,312.80","1,320.30","1,344.00","1,301.60","7.23K","-0.52%"
"Jan 19","1,319.70","1,286.00","1,325.40","1,275.30","57.39K","3.24%"
"Dec 18","1,278.30","1,222.50","1,281.30","1,221.30","3.92K","4.76%"
"Nov 18","1,220.20","1,215.40","1,233.80","1,196.30","57.64K","0.65%"
"Oct 18","1,212.30","1,191.60","1,238.60","1,183.70","3.91K","1.75%"
"Sep 18","1,191.50","1,199.30","1,205.00","1,180.00","5.55K","-0.73%"
"Aug 18","1,200.30","1,222.90","1,223.70","1,161.40","5.21K","-1.91%"
"Jul 18","1,223.70","1,249.90","1,262.30","1,211.70","65.29K","-2.21%"
"Jun 18","1,251.30","1,298.60","1,307.70","1,244.80","4.02K","-3.75%"
"May 18","1,300.10","1,313.20","1,319.90","1,285.20","55.56K","-1.22%"
"Apr 18","1,316.20","1,327.00","1,365.40","1,309.60","5.56K","-0.50%"
"Mar 18","1,322.80","1,310.40","1,352.20","1,301.80","65.42K","0.55%"
"Feb 18","1,315.50","1,343.80","1,361.40","1,307.00","9.63K","-1.76%"
"Jan 18","1,339.00","1,302.30","1,357.20","1,302.30","57.79K","2.50%"
"Dec 17","1,306.30","1,274.10","1,305.00","1,236.50","7.21K","2.60%"
"Nov 17","1,273.20","1,272.20","1,296.20","1,265.30","50.77K","0.49%"
"Oct 17","1,267.00","1,275.00","1,303.80","1,260.50","3.10K","-1.13%"
"Sep 17","1,281.50","1,320.20","1,355.80","1,277.00","7.08K","-2.64%"
"Aug 17","1,316.20","1,268.40","1,323.80","1,251.40","8.35K","3.92%"
"Jul 17","1,266.60","1,236.00","1,270.80","1,208.70","72.32K","2.09%"
"Jun 17","1,240.70","1,268.00","1,295.20","1,238.10","8.59K","-2.46%"
"May 17","1,272.00","1,268.70","1,273.20","1,214.00","133.26K","0.47%"
"Apr 17","1,266.10","1,247.50","1,294.80","1,243.00","8.01K","1.51%"
"Mar 17","1,247.30","1,247.80","1,257.70","1,196.20","60.39K","-0.42%"
"Feb 17","1,252.60","1,211.90","1,263.10","1,197.90","9.92K","3.64%"
"Jan 17","1,208.60","1,155.20","1,219.00","1,146.50","55.32K","5.10%"
"Dec 16","1,150.00","1,172.70","1,186.70","1,123.90","8.61K","-1.78%"
"Nov 16","1,170.80","1,279.30","1,318.60","1,167.90","52.71K","-7.92%"
"Oct 16","1,271.50","1,313.50","1,316.80","1,249.50","5.50K","-3.18%"
"Sep 16","1,313.30","1,305.30","1,350.50","1,301.50","8.18K","0.49%"
"Aug 16","1,306.90","1,348.80","1,366.00","1,306.30","11.45K","-3.12%"
"Jul 16","1,349.00","1,324.50","1,374.90","1,312.80","66.27K","2.32%"
"Jun 16","1,318.40","1,215.70","1,355.60","1,205.40","12.33K","8.53%"
"May 16","1,214.80","1,292.10","1,304.40","1,199.00","72.11K","-5.77%"
"Apr 16","1,289.20","1,232.30","1,295.50","1,209.20","9.44K","4.46%"
"Mar 16","1,234.20","1,240.50","1,280.70","1,210.00","55.06K","0.02%"
"Feb 16","1,233.90","1,116.70","1,260.80","1,115.30","12.63K","10.52%"
"Jan 16","1,116.40","1,063.40","1,125.70","1,063.20","60.86K","5.29%"
"Dec 15","1,060.30","1,064.60","1,098.80","1,046.20","9.97K","-0.52%"
"Nov 15","1,065.80","1,137.90","1,138.70","1,051.10","57.85K","-6.63%"
"Oct 15","1,141.50","1,115.20","1,189.00","1,105.80","4.19K","2.33%"
"Sep 15","1,115.50","1,133.50","1,155.90","1,098.20","4.78K","-1.42%"
"Aug 15","1,131.60","1,095.50","1,169.00","1,080.50","12.82K","3.35%"
"Jul 15","1,094.90","1,173.10","1,173.10","1,078.60","57.76K","-6.54%"
"Jun 15","1,171.50","1,190.60","1,204.00","1,163.30","5.98K","-1.50%"
"May 15","1,189.40","1,178.10","1,228.10","1,170.00","57.93K","0.59%"
"Apr 15","1,182.40","1,182.90","1,224.20","1,174.60","7.45K","-0.06%"
"Mar 15","1,183.10","1,214.30","1,222.70","1,144.30","42.95K","-2.43%"
"Feb 15","1,212.60","1,284.10","1,284.70","1,191.60","7.75K","-5.15%"
"Jan 15","1,278.50","1,184.00","1,303.50","1,169.50","78.26K","7.99%"
"Dec 14","1,183.90","1,160.00","1,238.00","1,141.70","11.02K","0.74%"
"Nov 14","1,175.20","1,166.40","1,202.40","1,132.90","88.66K","0.35%"
"Oct 14","1,171.10","1,207.70","1,247.00","1,161.40","3.88K","-3.25%"
"Sep 14","1,210.50","1,284.50","1,286.40","1,204.00","8.21K","-5.86%"
"Aug 14","1,285.80","1,284.10","1,322.10","1,272.00","8.89K","0.35%"
"Jul 14","1,281.30","1,326.70","1,343.70","1,280.60","43.10K","-3.06%"
"Jun 14","1,321.80","1,250.00","1,328.70","1,240.50","10.00K","6.12%"
"May 14","1,245.60","1,288.70","1,314.20","1,241.80","42.32K","-3.86%"
"Apr 14","1,295.60","1,285.10","1,330.00","1,272.40","7.94K","0.95%"
"Mar 14","1,283.40","1,335.90","1,391.40","1,282.40","70.78K","-2.88%"
"Feb 14","1,321.40","1,242.40","1,344.00","1,241.20","11.52K","6.56%"
"Jan 14","1,240.10","1,204.30","1,269.40","1,204.30","52.67K","3.18%"
"Dec 13","1,201.90","1,251.40","1,267.00","1,182.00","14.56K","-3.89%"
"Nov 13","1,250.60","1,325.70","1,325.70","1,229.00","92.25K","-5.52%"
"Oct 13","1,323.60","1,328.00","1,359.70","1,254.10","2.56K","-0.22%"
"Sep 13","1,326.50","1,393.00","1,414.40","1,292.10","4.59K","-4.99%"
