產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用(仟元/人),公司年度資訊－平均員工薪資費用調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股),
"半導體業","2302","麗正","一般","47891.000","38366","73","656","526","-4.9 %","0.00","1593","1418","6.66",
"半導體業","2303","聯電","一般","22354612.000","19970279","14583","1533","1369","1.9 %","0.82","1593","1418","6.66",
"半導體業","2329","華泰","一般","3724873.000","3010873","6388","583","471","14.9 %","1.06","1593","1418","6.66",
"半導體業","2330","台積電","一般","96182936.000","86909632","44050","2183","1973","-0.9 %","13.32","1593","1418","6.66",
"半導體業","2337","旺宏","一般","5815451.000","5036696","3853","1509","1307","-12.1 %","1.64","1593","1418","6.66",
"半導體業","2338","光罩","一般","320493.000","205493","228","1406","901","19.3 %","2.19","1593","1418","6.66",
"半導體業","2342","茂矽","一般","552399.000","449650","609","907","738","-13.0 %","-2.56","1593","1418","6.66",
"半導體業","2344","華邦電","一般","4492545.000","3995611","2977","1509","1342","-23.6 %","0.32","1593","1418","6.66",
"半導體業","2351","順德","一般","1043933.000","850752","1438","726","592","-13.2 %","2.70","1593","1418","6.66",
"半導體業","2363","矽統","一般","259639.000","230528","184","1411","1253","1.5 %","-0.42","1593","1418","6.66",
"半導體業","2369","菱生","一般","1334496.000","1079525","2264","589","477","-2.3 %","-1.47","1593","1418","6.66",
"半導體業","2379","瑞昱","一般","11182211.000","10349865","3678","3040","2814","24.7 %","13.36","1593","1418","6.66",
"半導體業","2388","威盛","一般","811710.000","688307","470","1727","1464","6.1 %","0.09","1593","1418","6.66",
"半導體業","2401","凌陽","一般","477699.000","415566","304","1571","1367","0.8 %","0.03","1593","1418","6.66",
