,ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ计,基畉
0,107/09/03,259.0,260.0,256.5,257.0,34510555,-2.0
1,107/09/04,258.5,259.5,255.5,257.5,41455615,-1.0
2,107/09/05,260.0,264.5,259.0,264.0,52706459,4.0
3,107/09/06,268.0,268.0,261.0,261.0,39779488,-7.0
4,107/09/07,263.0,264.0,260.5,264.0,44746728,1.0
5,107/09/10,266.5,266.5,262.5,264.5,62851599,-2.0
6,107/09/11,263.0,263.5,258.0,260.0,44981276,-3.0
7,107/09/12,261.0,262.0,258.0,260.5,38415965,-0.5
8,107/09/13,260.0,260.0,253.5,255.0,37959180,-5.0
9,107/09/14,257.0,261.5,257.0,261.0,40034219,4.0
10,107/09/17,262.5,262.5,257.0,258.0,25041358,-4.5
11,107/09/18,256.5,257.0,254.0,254.5,34381152,-2.0
12,107/09/19,258.0,260.0,257.0,258.0,69978711,0.0
13,107/09/20,261.5,261.5,257.5,260.0,35577071,-1.5
14,107/09/21,261.5,261.5,258.0,261.5,36500974,0.0
15,107/09/25,261.5,264.0,260.5,263.5,24978062,2.0
16,107/09/26,263.0,263.5,261.0,263.5,25061115,0.5
17,107/09/27,264.0,266.0,262.0,265.0,38495371,1.0
18,107/09/28,266.0,266.0,260.0,262.5,39645486,-3.5
0,107/10/01,262.0,264.0,261.0,263.0,22409380,1.0
1,107/10/02,262.0,263.0,257.0,257.5,38391491,-4.5
2,107/10/03,257.5,260.0,257.0,260.0,25228536,2.5
3,107/10/04,257.0,257.5,254.0,254.0,38009727,-3.0
4,107/10/05,250.0,253.0,248.5,250.0,40396660,0.0
5,107/10/08,245.5,246.5,241.0,243.5,51083958,-2.0
6,107/10/09,243.5,245.0,242.0,244.0,28933345,0.5
7,107/10/11,233.5,233.5,227.0,227.5,96033657,-6.0
8,107/10/12,231.0,237.0,229.0,237.0,54439769,6.0
9,107/10/15,234.0,234.0,230.5,230.5,46471280,-3.5
10,107/10/16,229.5,237.0,229.0,237.0,39129077,7.5
11,107/10/17,241.5,243.0,238.0,238.5,42887858,-3.0
12,107/10/18,238.0,239.0,235.5,236.5,27793430,-1.5
13,107/10/19,231.0,236.5,230.0,236.0,29648460,5.0
14,107/10/22,232.5,238.0,231.5,237.0,29275777,4.5
15,107/10/23,232.0,234.0,230.0,230.0,36757745,-2.0
16,107/10/24,230.0,231.0,227.0,229.5,45480950,-0.5
17,107/10/25,220.5,222.0,219.5,219.5,75524118,-1.0
18,107/10/26,223.0,224.0,217.0,221.0,54073644,-2.0
19,107/10/29,223.0,224.0,221.0,222.5,18463792,-0.5
20,107/10/30,221.0,225.0,220.5,223.0,29085931,2.0
21,107/10/31,228.0,234.0,228.0,234.0,59933201,6.0
